Aboa Station Antartica;AUTRE;882;;D;;5;456
Chypre;FIXE;357;+12;C;6;15;137;34;29;24;20
Chypre;MOBILE;357;+12;C;6;15;153;37;32;27;23
Colombie;FIXE;57;+5;C;9;15;137;36;31;26;22
Colombie;MOBILE;57;+5;C;9;15;153;43;38;33;29
Comores;FIXE;269;+13;C;5;15;137;68;63;58;54
Comores;MOBILE;269;+ 13;C;5;15;153;68;63;58;54
Congo (Rép. Dérn) ex-Zaire;FIXE;243;+11;C;5;15;137;79;74;69;65
Congo (Rép. Dem) ex-Zaire;MOBILE;243;+11;C;5;15;153;79;74;69;65
Congo Brazaville;FIXE;242;+11;C;5;15;137;42;37;32;28
Congo Brazavllle;MOBILE;242;+11;C;5;15;153;42;37;32;28
Cook (Iles);FIXE;682;+19;A;1;30;68;68;68;68;68
Cook (Iles);MOBILE;682;+19;A;1;30;85;85;85;85;85
Corée du Nord;FIXE;850;+19;C;7;15;137;105;100;95;91
Corée du Nord;MOBILE;850;+19;C;7;15;153;105;100;95;91
Oorée du Sud;FIXE;82;+19;C;7;15;137;31;26;21;17
Corée du Sud;MOBILE;82;+19;C;7;15;153;35;30;25;21
Costa Rica;FIXE;506;+4;C;9;15;137;35;30;25;21
Costa Rica;MOBILE;506;+4;C;9;15;153;35;30;25;21
C6te d'Ivoire;FIXE;225;+ 10;C;5;15;137;49;44;39;35
Cote d”Iv0ire;MOBILE;225;+10;C;5;15;153;50;45;40;36
Cote d'Ivoire, Spaoemob;MOBILE;225;+10;C;;15;153;116;111;106;102
Croatie (Rép. de);FIXE;385;+11;C;6;15;137;33;28;23;19
Croatie (Rép. de);MOBILE;385;+11;C;6;15;153;50;45;40;36
Cuba;FIXE;53;+5;C;9;15;137;122;117;112;108
Cuba;MOBILE;53;+5;C;9;15;153;146;141;136;132
Danemark;FIXE;45;+11;B;6;20;102;31;26;21;17
Danemark;MOBILE;45;+11;B;6;20;119;49;44;39;35
Diego Garcia;FIXE;246;;;;;;415;410;405;401
Diego Garcia;MOBILE;246;;;;;;415;410;405;401
Djibouti;FIXE;253;+13;C;5;15;137;74;69;64;60
Djibouti;MOBILE;253;+13;C;5;15;153;74;69;64;60
Dominicaine (Rép.);FIXE;1809;+6;C;9;15;137;36;31;26;22
Dominlwine (Rép.);MOBILE;1809;+6;C;9;15;153;49;44;39;35
Dominicaine (Rép.);FIXE;1829;+6;C;9;15;137;36;31;26;22
Dominicaine (Rép.);MOBILE;1829;+6;C;9;15;153;49;44;39;35
Dominique;FIXE;1767;+6;C;9;15;137;49;44;39;35
Dominique;MOBILE;1767;+6;C;9;15;153;49;44;39;35
Egypte;FIXE;20;+12;C;9;15;137;49;44;39;35
Egypte;MOBILE;20;+12;C;9;15;153;49;44;39;35
ELSACOM;AUTRE;39;;D;;5;456
El Salvador;FIXE;503;+4;C;9;15;137;38;33;28;24
El Salvador;MOBILE;503;+4;C;9;15;153;42;37;32;28
Ellipso;AUTRE;881;;;;;;319;314;309;305
Emirats Arabes Unis;FIXE;971;+13;C;9;15;137;51;46;41;37
Emirats Arabes Unis;MOBILE;971;+13;C;9;15;153;52;47;42;38
EMSAT;AUTRE;882;;D;;5;456;319;314;309;305
Equateur;FIXE;593;+5;C;9;15;137;44;39;34;30
Equateur;MOBILE;593;+5;C;9;15;153;56;51;46;42
Erylihrée;FIXE;291;+13;C;9;15;137;59;54;49;45
Ewthrée;MOBILE;291;+13;C;9;15;153;59;54;49;45; `
Espagne;FIXE;34;+11;B;6;20;102;31;26;21;17
Espagne;MOBILE;34;+11;B;6;20;119;51;46;41;37
Estonie;FIXE;372;+12;C;;15;137;32;27;22;18
Estonie;MOBILE;372;+12;C;;15;153;32;27;22;18
Etats-Unis;FIXE;1;+2a5;A;4;30;68;34;29;24;20
Etats-Unis;MOBILE;1;+2a5;A;4;30;85;34;29;24;20
Ethiopie;FIXE;251;+13;C;9;15;137;74;69;64;60
Ethiople;MOBILE;251;+13;C;9;15;153;74;69;64;60
Falkland (Iles);FIXE;500;+7;C;9;15;137;93;88;83;79
Falkland (Iles);MOBILE;500;+7;C;9;15;153;93;88;83;79
Feroe (Iles) - Danemark;FIXE;298;+10;B;6;20;102;61;56;51;47
Feroe (Iles) - Danemark;MOBILE;298;+10;B;6;20;119;61;56;51;47
Fidji;FIXE;679;+21;B;3;20;102;59;54;49;45
Fidji;MOBILE;679;+21;B;3;20;119;59;54;49;45
Finlande;FIXE;358;+12;B;6;20;102;37;32;27;23
Finlande;MOBILE;358;+12;B;6;20;119;49;44;39;35
France;FIXE;33;+11;A;4;30;68;31;26;21;17
France;MOBILE;33;+11;A;4;30;85;47;42;37;33
Gabon;FIXE;241;+11;C;5;15;137;48;43;38;34
Gabon;MOBILE;241;+11;C;5;15;153;50;45;40;36
Gambie;FIXE;220;+10;C;9;15;137;54;49;44;40
Gambie;MOBILE;220;+10;C;9;15;153;54;49;44;40
Géorgie (Rép. de) (C.E.I.);FIXE;995;+13;C;6;15;137;35;30;25;21
Géorgle (Rép. de) (C.E.I.);MOBILE;995;+13;C;6;15;153;44;39;34;30
Germany DTAG VPN;AUTRE;882;;D;;5;456
